elapsed_ms,kind,value,source,iso_time,session_label
0,rr,772,saved_rr_points,2026-06-13T21:45:21Z,gate-b-300s-live-rr
847,rr,749,saved_rr_points,2026-06-13T21:45:22Z,gate-b-300s-live-rr
1987,rr,712,saved_rr_points,2026-06-13T21:45:23Z,gate-b-300s-live-rr
2840,rr,720,saved_rr_points,2026-06-13T21:45:24Z,gate-b-300s-live-rr
2976,rr,715,saved_rr_points,2026-06-13T21:45:24Z,gate-b-300s-live-rr
3698,rr,722,saved_rr_points,2026-06-13T21:45:25Z,gate-b-300s-live-rr
4856,rr,688,saved_rr_points,2026-06-13T21:45:26Z,gate-b-300s-live-rr
5496,rr,682,saved_rr_points,2026-06-13T21:45:27Z,gate-b-300s-live-rr
6546,rr,721,saved_rr_points,2026-06-13T21:45:28Z,gate-b-300s-live-rr
6649,rr,787,saved_rr_points,2026-06-13T21:45:28Z,gate-b-300s-live-rr
7447,rr,798,saved_rr_points,2026-06-13T21:45:29Z,gate-b-300s-live-rr
8496,rr,792,saved_rr_points,2026-06-13T21:45:30Z,gate-b-300s-live-rr
9547,rr,746,saved_rr_points,2026-06-13T21:45:31Z,gate-b-300s-live-rr
10411,rr,747,saved_rr_points,2026-06-13T21:45:32Z,gate-b-300s-live-rr
11350,rr,802,saved_rr_points,2026-06-13T21:45:33Z,gate-b-300s-live-rr
12250,rr,805,saved_rr_points,2026-06-13T21:45:34Z,gate-b-300s-live-rr
12514,rr,820,saved_rr_points,2026-06-13T21:45:34Z,gate-b-300s-live-rr
13296,rr,782,saved_rr_points,2026-06-13T21:45:35Z,gate-b-300s-live-rr
14196,rr,748,saved_rr_points,2026-06-13T21:45:36Z,gate-b-300s-live-rr
15096,rr,748,saved_rr_points,2026-06-13T21:45:37Z,gate-b-300s-live-rr
16150,rr,809,saved_rr_points,2026-06-13T21:45:38Z,gate-b-300s-live-rr
17047,rr,822,saved_rr_points,2026-06-13T21:45:39Z,gate-b-300s-live-rr
18100,rr,813,saved_rr_points,2026-06-13T21:45:40Z,gate-b-300s-live-rr
18202,rr,771,saved_rr_points,2026-06-13T21:45:40Z,gate-b-300s-live-rr
18997,rr,795,saved_rr_points,2026-06-13T21:45:40Z,gate-b-300s-live-rr
19897,rr,823,saved_rr_points,2026-06-13T21:45:41Z,gate-b-300s-live-rr
